provincia_inscripcion;canton_inscripcion;parroquia_inscripcion;anio_inscripcion;mes_inscripcion;dia_inscripcion;fecha_inscripcion;anio_sentencia_divorcio;mes_sentencia_divorcio;dia_sentencia_divorcio;fecha_sentencia_divorcio;anio_matrimonio;mes_matrimonio;dia_matrimonio;fecha_matrimonio;capitulaciones_bienes;duracion_matrimonio_anios;causa_divorcio;nacionalidad_conyuge1;pais_conyuge1;sexo_conyuge1;anio_nacimiento_conyuge1;mes_nacimiento_conyuge1;dia_nacimiento_conyuge1;fecha_nacimiento_conyuge1;edad_conyuge1;hijos_a_cargo_conyuge1;autoidentificacion_etnica_conyuge1;nivel_instruccion_conyuge1;sabe_leer_escribir_conyuge1;provincia_residencia_conyuge1;canton_residencia_conyuge1;parroquia_residencia_conyuge1;area_residencia_conyuge1;nacionalidad_conyuge2;pais_conyuge2;sexo_conyuge2;anio_nacimiento_conyuge2;mes_nacimiento_conyuge2;dia_nacimiento_conyuge2;fecha_nacimiento_conyuge2;edad_conyuge2;hijos_a_cargo_conyuge2;autoidentificacion_etnica_conyuge2;nivel_instruccion_conyuge2;sabe_leer_escribir_conyuge2;provincia_residencia_conyuge2;canton_residencia_conyuge2;parroquia_residencia_conyuge2;area_residencia_conyuge2
Loja;Loja;Loja;2020;Marzo;11;2020/03/11;2019;Diciembre;11;2019/12/11;2014;Agosto;15;2014/08/15;No;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1985;Mayo;18;1985/05/18;34;0;Mestiza;Superior Universitario;Si;Loja;Loja;San Sebastián;Urbana;Ecuatoriano;Ecuador;Mujer;1984;Agosto;19;1984/08/19;35;1;Mestiza;Superior Universitario;Si;Loja;Loja;Valle;Urbana
Chimborazo;Riobamba;Lizarzaburu;2020;Marzo;11;2020/03/11;2019;Octubre;23;2019/10/23;2014;Agosto;26;2014/08/26;No;5;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1992;Junio;8;1992/06/08;27;0;Mestiza;Secundaria;Si;Chimborazo;Riobamba;Riobamba;Urbana;Ecuatoriano;Ecuador;Hombre;1989;Diciembre;16;1989/12/16;30;1;Mestiza;Secundaria;Si;Chimborazo;Riobamba;Riobamba;Urbana
Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;2020;Marzo;11;2020/03/11;2020;Marzo;9;2020/03/09;2014;Septiembre;19;2014/09/19;No;5;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1988;Junio;18;1988/06/18;31;0;Mestiza;Educación media / Bachillerato;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana;Ecuatoriano;Ecuador;Mujer;1991;Junio;26;1991/06/26;28;1;Mestiza;Educación media / Bachillerato;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana
Cañar;Azogues;Azogues;2020;Marzo;11;2020/03/11;2020;Febrero;11;2020/02/11;2014;Octubre;23;2014/10/23;No;5;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1967;Febrero;19;1967/02/19;53;0;Mestiza;Primaria;Si;Cañar;Azogues;San Miguel;Rural;Ecuatoriano;Ecuador;Mujer;1973;Febrero;1;1973/02/01;47;0;Mestiza;Primaria;Si;Cañar;Azogues;San Miguel;Rural
Cañar;Azogues;Azogues;2020;Marzo;11;2020/03/11;2019;Octubre;30;2019/10/30;2014;Noviembre;7;2014/11/07;No;4;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1996;Julio;27;1996/07/27;23;0;Mestiza;Educación media / Bachillerato;Si;Cañar;Azogues;Aurelio Bayas Martínez;Urbana;Ecuatoriano;Ecuador;Mujer;1997;Noviembre;20;1997/11/20;22;1;Mestiza;Educación media / Bachillerato;Si;Cañar;Azogues;Aurelio Bayas Martínez;Urbana
Manabí;Manta;Tarqui;2020;Marzo;11;2020/03/11;2020;Febrero;11;2020/02/11;2015;Febrero;6;2015/02/06;No;5;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1985;Diciembre;11;1985/12/11;34;0;Mestiza;Posgrado;Si;Manabí;Portoviejo;Portoviejo;Urbana;Ecuatoriano;Ecuador;Mujer;1986;Marzo;9;1986/03/09;34;0;Mestiza;Posgrado;Si;Manabí;Sucre;Bahía de Caráquez;Urbana
Pichincha;Quito;Itchimbia;2020;Marzo;11;2020/03/11;2020;Marzo;11;2020/03/11;2015;Marzo;27;2015/03/27;No;4;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1992;Septiembre;20;1992/09/20;27;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Guamaní;Urbana;Ecuatoriano;Ecuador;Mujer;1996;Agosto;20;1996/08/20;23;1;Mestiza;Superior no Universitario;Si;Pichincha;Quito;Turubamba;Urbana
Los Ríos;Quevedo;San Camilo;2020;Marzo;11;2020/03/11;2020;Marzo;11;2020/03/11;2015;Julio;24;2015/07/24;No;4;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1989;Abril;28;1989/04/28;30;0;Mestiza;Primaria;Si;Cotopaxi;La Mana;Pucayacu;Rural;Ecuatoriano;Ecuador;Mujer;1989;Septiembre;4;1989/09/04;30;1;Mestiza;Secundaria;Si;Cotopaxi;La Mana;El Triunfo;Urbana
Pichincha;Quito;Iñaquito;2020;Marzo;11;2020/03/11;2020;Marzo;11;2020/03/11;2015;Septiembre;25;2015/09/25;No;4;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1982;Mayo;16;1982/05/16;37;0;Mestiza;Superior no Universitario;Si;Pichincha;Quito;Carcelén;Urbana;Ecuatoriano;Ecuador;Mujer;1982;Agosto;28;1982/08/28;37;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Carcelén;Urbana
Pichincha;Quito;Iñaquito;2020;Marzo;11;2020/03/11;2020;Marzo;10;2020/03/10;2015;Diciembre;21;2015/12/21;No;4;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1985;Agosto;27;1985/08/27;34;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Belisario Quevedo;Urbana;Ecuatoriano;Ecuador;Mujer;1985;Julio;25;1985/07/25;34;0;Montubia;Superior Universitario;Si;Pichincha;Quito;Belisario Quevedo;Urbana
Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;2020;Marzo;11;2020/03/11;2020;Marzo;9;2020/03/09;2016;Febrero;10;2016/02/10;No;4;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1945;Noviembre;17;1945/11/17;74;0;Mestiza;Educación básica;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana;Ecuatoriano;Ecuador;Mujer;1960;Noviembre;15;1960/11/15;59;0;Mestiza;Superior Universitario;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Zaracay;Urbana
Chimborazo;Riobamba;Lizarzaburu;2020;Marzo;11;2020/03/11;2020;Marzo;11;2020/03/11;2016;Marzo;4;2016/03/04;No;4;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1981;Mayo;3;1981/05/03;38;0;Mestiza;Secundaria;Si;Chimborazo;Riobamba;Riobamba;Urbana;Ecuatoriano;Ecuador;Mujer;1982;Septiembre;23;1982/09/23;37;0;Mestiza;Secundaria;Si;Chimborazo;Riobamba;Riobamba;Urbana
Cañar;Azogues;Azogues;2020;Marzo;11;2020/03/11;2020;Enero;27;2020/01/27;2016;Abril;19;2016/04/19;No;3;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1988;Diciembre;13;1988/12/13;31;0;Mestiza;Superior Universitario;Si;Cañar;Azogues;Azogues;Urbana;Ecuatoriano;Ecuador;Mujer;1993;Junio;17;1993/06/17;26;1;Mestiza;Educación media / Bachillerato;Si;Cañar;Azogues;Azogues;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;11;2020/03/11;2020;Febrero;14;2020/02/14;2016;Agosto;9;2016/08/09;No;3;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1979;Abril;28;1979/04/28;40;1;Mestiza;Superior Universitario;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1986;Marzo;15;1986/03/15;33;1;Mestiza;Superior Universitario;Si;Guayas;Guayaquil;Guayaquil;Urbana
Pichincha;Quito;Iñaquito;2020;Marzo;11;2020/03/11;2020;Marzo;5;2020/03/05;2016;Septiembre;22;2016/09/22;No;3;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1991;Abril;13;1991/04/13;28;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;El Condado;Urbana;Ecuatoriano;Ecuador;Mujer;1994;Noviembre;10;1994/11/10;25;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;El Condado;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;11;2020/03/11;2020;Marzo;6;2020/03/06;2017;Enero;12;2017/01/12;No;3;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1994;Julio;13;1994/07/13;25;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1994;Noviembre;28;1994/11/28;25;0;Mestiza;Superior Universitario;Si;Guayas;Guayaquil;Guayaquil;Urbana
Azuay;Cuenca;San Blas;2020;Marzo;11;2020/03/11;2020;Febrero;20;2020/02/20;2017;Enero;13;2017/01/13;No;3;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1972;Julio;6;1972/07/06;47;0;Mestiza;Primaria;Si;Exterior;Exterior;Exterior;Urbana;Ecuatoriano;Ecuador;Mujer;1978;Junio;25;1978/06/25;41;0;Mestiza;Primaria;Si;Azuay;Santa Isabel;Santa Isabel (Chaguarurco);Urbana
Azuay;Cuenca;San Blas;2020;Marzo;11;2020/03/11;2020;Febrero;18;2020/02/18;2017;Mayo;5;2017/05/05;No;2;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1989;Noviembre;17;1989/11/17;30;0;Mestiza;Educación media / Bachillerato;Si;Azuay;Cuenca;Valle;Rural;Ecuatoriano;Ecuador;Mujer;1990;Febrero;4;1990/02/04;30;1;Mestiza;Superior Universitario;Si;Azuay;Cuenca;El Vecino;Urbana
El Oro;Piñas;Piñas, Cabecera Cantonal;2020;Marzo;11;2020/03/11;2020;Enero;30;2020/01/30;2017;Julio;5;2017/07/05;No;2;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1983;Noviembre;21;1983/11/21;36;0;Mestiza;Secundaria;Si;El Oro;Piñas;Piñas, Cabecera Cantonal;Urbana;Ecuatoriano;Ecuador;Mujer;1984;Marzo;25;1984/03/25;35;0;Mestiza;Secundaria;Si;El Oro;Piñas;Piñas, Cabecera Cantonal;Urbana
Loja;Loja;Loja;2020;Marzo;11;2020/03/11;2020;Febrero;19;2020/02/19;2017;Julio;15;2017/07/15;No;2;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1986;Mayo;23;1986/05/23;33;0;Mestiza;Superior Universitario;Si;Loja;Celica;Celica;Urbana;Ecuatoriano;Ecuador;Mujer;1986;Septiembre;10;1986/09/10;33;1;Mestiza;Superior Universitario;Si;Loja;Loja;Punzara;Urbana
Los Ríos;Quevedo;San Camilo;2020;Marzo;11;2020/03/11;2020;Enero;29;2020/01/29;2017;Agosto;8;2017/08/08;No;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1964;Diciembre;7;1964/12/07;55;0;Mestiza;Educación media / Bachillerato;Si;Los Ríos;Quevedo;San Camilo;Urbana;Ecuatoriano;Ecuador;Mujer;1976;Abril;5;1976/04/05;43;0;Mestiza;Educación media / Bachillerato;Si;Los Ríos;Babahoyo;Clemente Baquerizo;Urbana
Chimborazo;Riobamba;Lizarzaburu;2020;Marzo;11;2020/03/11;2019;Octubre;17;2019/10/17;2017;Septiembre;1;2017/09/01;No;2;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1987;Marzo;3;1987/03/03;33;0;Mestiza;Superior Universitario;Si;Chimborazo;Riobamba;Riobamba;Urbana;Ecuatoriano;Ecuador;Mujer;1989;Octubre;27;1989/10/27;30;1;Mestiza;Educación media / Bachillerato;Si;Chimborazo;Riobamba;Riobamba;Urbana
Pichincha;Quito;Iñaquito;2020;Marzo;11;2020/03/11;2020;Enero;7;2020/01/07;2017;Septiembre;9;2017/09/09;Si;2;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1982;Agosto;9;1982/08/09;37;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Iñaquito;Urbana;Ecuatoriano;Ecuador;Mujer;1988;Septiembre;29;1988/09/29;31;0;Mestiza;Superior Universitario;Si;Pichincha;Rumiñahui;Sangolquí, Cabecera Cantonal;Urbana
Pichincha;Quito;Iñaquito;2020;Marzo;11;2020/03/11;2020;Marzo;10;2020/03/10;2018;Enero;23;2018/01/23;No;2;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Mujer;1985;Abril;2;1985/04/02;34;0;Mestiza;Superior no Universitario;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana;Ecuatoriano;Ecuador;Hombre;1987;Septiembre;20;1987/09/20;32;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Mejia;Machachi;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;11;2020/03/11;2020;Enero;22;2020/01/22;2018;Mayo;29;2018/05/29;No;1;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1980;Febrero;29;1980/02/29;40;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1991;Febrero;6;1991/02/06;29;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Pichincha;Quito;Iñaquito;2020;Marzo;11;2020/03/11;2020;Marzo;5;2020/03/05;2018;Agosto;15;2018/08/15;No;1;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1982;Agosto;7;1982/08/07;37;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Chillogallo;Urbana;Ecuatoriano;Ecuador;Mujer;1985;Mayo;30;1985/05/30;34;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Iñaquito;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2020;Febrero;18;2020/02/18;1973;Agosto;18;1973/08/18;No;46;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1951;Enero;13;1951/01/13;69;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1951;Octubre;18;1951/10/18;68;3;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Azuay;Cuenca;San Blas;2020;Marzo;12;2020/03/12;2019;Agosto;8;2019/08/08;1976;Agosto;24;1976/08/24;No;42;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Mujer;1956;Abril;20;1956/04/20;63;0;Mestiza;Primaria;Si;Exterior;Exterior;Exterior;Urbana;Ecuatoriano;Ecuador;Hombre;1958;Julio;22;1958/07/22;61;0;Mestiza;Primaria;Si;Exterior;Exterior;Exterior;Urbana
Chimborazo;Riobamba;Lizarzaburu;2020;Marzo;12;2020/03/12;2020;Febrero;13;2020/02/13;1980;Septiembre;27;1980/09/27;Si;39;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1948;Diciembre;1;1948/12/01;71;0;Indigena;Educación básica;Si;Chimborazo;Riobamba;Yaruquíes;Urbana;Ecuatoriano;Ecuador;Mujer;1957;Octubre;2;1957/10/02;62;0;Mestiza;Educación básica;Si;Chimborazo;Riobamba;Yaruquíes;Urbana
Pichincha;Quito;Iñaquito;2020;Marzo;12;2020/03/12;2020;Marzo;12;2020/03/12;1986;Marzo;17;1986/03/17;No;33;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1952;Agosto;15;1952/08/15;67;0;Mestiza;Superior no Universitario;Si;Pichincha;Quito;Pifo;Rural;Ecuatoriano;Ecuador;Mujer;1958;Agosto;12;1958/08/12;61;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Pifo;Rural
Pichincha;Quito;Itchimbia;2020;Marzo;12;2020/03/12;2020;Febrero;12;2020/02/12;1987;Octubre;15;1987/10/15;No;32;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Mujer;1967;Septiembre;5;1967/09/05;52;0;Mestiza;Secundaria;Si;Pichincha;Quito;Chillogallo;Urbana;Ecuatoriano;Ecuador;Hombre;1964;Febrero;21;1964/02/21;56;0;Mestiza;Secundaria;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana
Loja;Loja;Loja;2020;Marzo;12;2020/03/12;2020;Febrero;19;2020/02/19;1987;Octubre;23;1987/10/23;No;32;Las Amenazas graves de un cónyuge contra la vida del otro;Ecuatoriano;Ecuador;Hombre;1961;Octubre;19;1961/10/19;58;0;Mestiza;Superior Universitario;Si;Chimborazo;Riobamba;Riobamba;Urbana;Ecuatoriano;Ecuador;Mujer;1957;Diciembre;3;1957/12/03;62;0;Mestiza;Superior Universitario;Si;Loja;Loja;Valle;Urbana
Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;2020;Marzo;12;2020/03/12;2020;Febrero;26;2020/02/26;1987;Diciembre;23;1987/12/23;No;32;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1956;Noviembre;10;1956/11/10;63;0;Mestiza;Primaria;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana;Ecuatoriano;Ecuador;Mujer;1969;Diciembre;22;1969/12/22;50;0;Mestiza;Educación básica;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;Urbana
Pichincha;Quito;Itchimbia;2020;Marzo;12;2020/03/12;2020;Marzo;10;2020/03/10;1988;Abril;18;1988/04/18;No;31;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Mujer;1968;Julio;30;1968/07/30;51;0;Mestiza;Secundaria;Si;Pichincha;Quito;Puengasí;Urbana;Ecuatoriano;Ecuador;Hombre;1968;Agosto;30;1968/08/30;51;0;Mestiza;Secundaria;Si;Pichincha;Quito;Puengasí;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2020;Marzo;9;2020/03/09;1990;Mayo;18;1990/05/18;No;29;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1962;Diciembre;24;1962/12/24;57;3;Mestiza;Superior Universitario;Si;Guayas;Guayaquil;Ximena;Urbana;Ecuatoriano;Ecuador;Mujer;1974;Marzo;31;1974/03/31;45;3;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2020;Enero;28;2020/01/28;1991;Junio;1;1991/06/01;No;28;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1966;Octubre;20;1966/10/20;53;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1974;Junio;19;1974/06/19;45;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2020;Febrero;7;2020/02/07;1991;Agosto;18;1991/08/18;No;28;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1968;Mayo;20;1968/05/20;51;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Durán;Eloy Alfaro (Durán), Cabecera Cantonal;Urbana;Ecuatoriano;Ecuador;Mujer;1969;Enero;16;1969/01/16;51;2;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Tarqui;Urbana
Pichincha;Quito;Itchimbia;2020;Marzo;12;2020/03/12;2020;Marzo;12;2020/03/12;1991;Noviembre;15;1991/11/15;No;28;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1972;Abril;2;1972/04/02;47;0;Mestiza;Educación básica;Si;Pichincha;Quito;Quito Distrito Metropolitano de Quito;Urbana;Ecuatoriano;Ecuador;Mujer;1969;Mayo;14;1969/05/14;50;0;Mestiza;Secundaria;Si;Pichincha;Quito;Chillogallo;Urbana
Pichincha;Quito;Itchimbia;2020;Marzo;12;2020/03/12;2020;Marzo;10;2020/03/10;1992;Marzo;26;1992/03/26;Si;27;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1965;Julio;12;1965/07/12;54;0;Mestiza;Superior Universitario;Si;Pichincha;Quito;Iñaquito;Urbana;Ecuatoriano;Ecuador;Mujer;1969;Junio;12;1969/06/12;50;0;Mestiza;Educación media / Bachillerato;Si;Pichincha;Quito;Iñaquito;Urbana
Santo Domingo de los Tsáchilas;Santo Domingo;Santo Domingo de los Colorados;2020;Marzo;12;2020/03/12;2020;Marzo;12;2020/03/12;1992;Noviembre;13;1992/11/13;No;27;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1961;Diciembre;6;1961/12/06;58;0;Mestiza;Educación media / Bachillerato;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Bombolí;Urbana;Ecuatoriano;Ecuador;Mujer;1970;Mayo;28;1970/05/28;49;0;Mestiza;Educación media / Bachillerato;Si;Santo Domingo de los Tsáchilas;Santo Domingo;Bombolí;Urbana
Guayas;Milagro;Milagro;2020;Marzo;12;2020/03/12;2020;Marzo;11;2020/03/11;1992;Noviembre;13;1992/11/13;No;27;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1966;Septiembre;25;1966/09/25;53;0;Mestiza;Secundaria;Si;Guayas;Milagro;Milagro;Urbana;Ecuatoriano;Ecuador;Mujer;1973;Enero;13;1973/01/13;47;0;Mestiza;Secundaria;Si;Guayas;Milagro;Milagro;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2020;Marzo;12;2020/03/12;1993;Julio;1;1993/07/01;Si;26;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1971;Octubre;13;1971/10/13;48;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana;Ecuatoriano;Ecuador;Mujer;1971;Agosto;30;1971/08/30;48;0;Mestiza;Educación media / Bachillerato;Si;Exterior;Exterior;Exterior;Urbana
Cañar;Azogues;Azogues;2020;Marzo;12;2020/03/12;2011;Agosto;19;2011/08/19;1994;Mayo;12;1994/05/12;No;17;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1971;Octubre;10;1971/10/10;48;0;Mestiza;Primaria;Si;Exterior;Exterior;Exterior;Urbana;Ecuatoriano;Ecuador;Mujer;1973;Octubre;21;1973/10/21;46;2;Mestiza;Primaria;Si;Cañar;Cañar;Cañar;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2014;Septiembre;29;2014/09/29;1994;Mayo;30;1994/05/30;No;20;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1974;Julio;30;1974/07/30;45;2;Mestiza;Primaria;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1974;Febrero;11;1974/02/11;46;0;Mestiza;Secundaria;Si;Guayas;Guayaquil;Guayaquil;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2020;Enero;30;2020/01/30;1995;Abril;5;1995/04/05;No;24;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1963;Mayo;3;1963/05/03;56;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana;Ecuatoriano;Ecuador;Mujer;1961;Febrero;14;1961/02/14;59;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Guayaquil;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2020;Marzo;6;2020/03/06;1996;Junio;14;1996/06/14;No;23;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1971;Junio;9;1971/06/09;48;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana;Ecuatoriano;Ecuador;Mujer;1973;Octubre;7;1973/10/07;46;0;Mestiza;Educación media / Bachillerato;Si;Guayas;Guayaquil;Ximena;Urbana
Chimborazo;Riobamba;Lizarzaburu;2020;Marzo;12;2020/03/12;2020;Marzo;11;2020/03/11;1996;Septiembre;12;1996/09/12;No;23;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1970;Junio;11;1970/06/11;49;0;Mestiza;Superior Universitario;Si;Chimborazo;Alausi;Alausi;Urbana;Ecuatoriano;Ecuador;Mujer;1973;Noviembre;1;1973/11/01;46;1;Mestiza;Superior Universitario;Si;Chimborazo;Riobamba;Maldonado;Urbana
Guayas;Milagro;Milagro;2020;Marzo;12;2020/03/12;2020;Marzo;2;2020/03/02;1996;Octubre;26;1996/10/26;No;23;Por mutuo consentimiento vía notarial;Ecuatoriano;Ecuador;Hombre;1966;Octubre;7;1966/10/07;53;0;Mestiza;Secundaria;Si;Guayas;Milagro;Milagro;Urbana;Ecuatoriano;Ecuador;Mujer;1970;Febrero;19;1970/02/19;50;0;Mestiza;Secundaria;Si;Guayas;Milagro;Milagro;Urbana
Cañar;Azogues;Azogues;2020;Marzo;12;2020/03/12;2020;Febrero;19;2020/02/19;1997;Enero;9;1997/01/09;No;23;El abandono injustificado de cualquiera de los cónyuges por más de seis meses ininterrumpidos;Ecuatoriano;Ecuador;Hombre;1972;Mayo;19;1972/05/19;47;0;Mestiza;Primaria;Si;Exterior;Exterior;Exterior;Urbana;Ecuatoriano;Ecuador;Mujer;1977;Mayo;14;1977/05/14;42;0;Mestiza;Primaria;Si;Exterior;Exterior;Exterior;Urbana
Guayas;Guayaquil;Rocafuerte;2020;Marzo;12;2020/03/12;2019;Octubre;16;2019/10/16;1997;Mayo;30;1997/05/30;No;22;Por mutuo consentimiento vía judicial;Ecuatoriano;Ecuador;Hombre;1963;Septiembre;2;1963/09/02;56;0;Mestiza;Superior Universitario;Si;Guayas;Guayaquil;Ximena;Urbana;Ecuatoriano;Ecuador;Mujer;1965;Septiembre;20;1965/09/20;54;0;Mestiza;Superior Universitario;Si;Guayas;Guayaquil;Ximena;Urbana
